OrderID,RetuenClean
81909,Late Delivery
75959,Late Delivery
147378,Damaged
10455,
96617,Damaged
11595,Wrong Item
114323,
88665,Damaged
131698,Late Delivery
147066,Changed Mind
11284,
106393,Damaged
55779,Changed Mind
35457,
21177,
67516,Wrong Item
137430,Wrong Item
116069,Wrong Item
145966,Late Delivery
58554,Damaged
62247,Changed Mind
5493,Late Delivery
77921,Wrong Item
122383,Changed Mind
90350,
7527,Late Delivery
138914,Damaged
123856,Changed Mind
10210,Wrong Item
8798,Changed Mind
71998,Wrong Item
93145,Changed Mind
52526,
143925,Late Delivery
121708,Changed Mind
97146,Late Delivery
5458,
49347,
43541,Wrong Item
85147,Wrong Item
110011,Wrong Item
103912,Changed Mind
79609,Changed Mind
35885,Changed Mind
13652,
124898,Damaged
5592,Changed Mind
137810,Wrong Item
19944,Late Delivery
63301,Wrong Item
94750,Changed Mind
42161,Late Delivery
95670,Damaged
55356,Changed Mind
99005,Late Delivery
140123,Changed Mind
49935,Changed Mind
128094,
64203,Changed Mind
63810,Wrong Item
59846,Late Delivery
14344,
75680,Damaged
125412,Late Delivery
8958,
116962,Changed Mind
141866,Wrong Item
32133,
40701,
12793,Changed Mind
66573,Late Delivery
14650,Late Delivery
73282,Damaged
86897,Changed Mind
59996,Late Delivery
144065,Changed Mind
129954,Wrong Item
119332,
34132,Damaged
53982,Changed Mind
66475,Changed Mind
87650,Late Delivery
8871,Changed Mind
30370,Changed Mind
913,Late Delivery
127780,Wrong Item
109410,Changed Mind
127459,Wrong Item
21885,Late Delivery
135230,Late Delivery
90009,Damaged
96560,Wrong Item
148396,Changed Mind
22938,Damaged
35546,Wrong Item
64134,Late Delivery
123000,
50607,Damaged
35496,Damaged
112500,Damaged
149246,
17054,Wrong Item
95274,Late Delivery
143856,Wrong Item
16966,Damaged
32506,Late Delivery
64373,Late Delivery
20024,Changed Mind
135507,Changed Mind
15264,Damaged
120972,Changed Mind
71787,Wrong Item
38819,Damaged
22387,Late Delivery
111153,Changed Mind
49223,Changed Mind
99831,Late Delivery
145303,Changed Mind
24356,Wrong Item
75085,Changed Mind
64017,Changed Mind
139442,
43991,
19083,Wrong Item
94568,
1546,Late Delivery
123618,
119821,
34070,
62308,Wrong Item
73516,Late Delivery
57099,Wrong Item
4905,
3049,
107216,Late Delivery
49806,Late Delivery
6306,Changed Mind
38165,Late Delivery
18832,Late Delivery
3951,Wrong Item
62371,Damaged
125602,Late Delivery
7324,
122896,Damaged
89116,Changed Mind
52940,Changed Mind
3653,
122283,Damaged
51603,Damaged
136455,
38689,Late Delivery
119667,
48501,Changed Mind
23709,
41282,Changed Mind
18590,Late Delivery
120161,Wrong Item
135605,Damaged
37337,Damaged
63953,
73405,Wrong Item
64417,Changed Mind
130236,Wrong Item
63386,
120553,Damaged
37456,Late Delivery
106992,Damaged
123130,Changed Mind
76578,Damaged
134398,Late Delivery
134926,
66973,Damaged
108092,Damaged
57501,Late Delivery
67725,Damaged
89295,Changed Mind
50679,Changed Mind
28944,
33953,Changed Mind
1629,Damaged
77238,Late Delivery
133457,Wrong Item
12924,Changed Mind
31729,Late Delivery
18575,Changed Mind
117093,
141504,Wrong Item
116652,Damaged
58832,Changed Mind
24265,
22990,Changed Mind
91478,
82882,Changed Mind
20451,Late Delivery
127147,Damaged
132651,Late Delivery
87790,Late Delivery
59096,Wrong Item
17258,Changed Mind
122389,Late Delivery
51504,Changed Mind
71506,Changed Mind
65856,Changed Mind
135179,Wrong Item
11519,Wrong Item
87011,Late Delivery
53533,Changed Mind
44604,Changed Mind
129112,
108516,
53101,Damaged
5060,Damaged
141253,Damaged
36265,Changed Mind
54653,Damaged
13531,Late Delivery
47464,Damaged
121680,Late Delivery
1497,Late Delivery
47381,
69287,Late Delivery
7382,Damaged
1009,
56415,Changed Mind
135825,Damaged
48506,
44425,Late Delivery
3958,Wrong Item
11414,
49889,Wrong Item
120286,Changed Mind
8672,
1010,Damaged
126805,
107670,Late Delivery
137864,Wrong Item
73970,Damaged
115820,Wrong Item
110208,Changed Mind
122661,Wrong Item
107814,Damaged
73835,Wrong Item
15877,Damaged
111066,Late Delivery
46784,
139024,Late Delivery
7185,
107149,Wrong Item
8649,Wrong Item
90830,
62653,
77592,
149055,Changed Mind
75689,Late Delivery
70057,Damaged
67246,Late Delivery
99429,Damaged
15773,Damaged
22313,Changed Mind
82714,
128574,Late Delivery
6552,Wrong Item
75920,Late Delivery
5029,Changed Mind
108408,Changed Mind
52167,
101062,Late Delivery
17213,Changed Mind
51270,Changed Mind
83128,Late Delivery
142153,Changed Mind
119752,Wrong Item
45567,Late Delivery
17103,Damaged
134626,Changed Mind
116578,
107373,Wrong Item
76861,Changed Mind
95416,Damaged
149449,Late Delivery
116830,Late Delivery
140940,Wrong Item
105676,Changed Mind
148390,Changed Mind
26203,Late Delivery
135644,Wrong Item
77265,Damaged
92852,Changed Mind
87644,Wrong Item
123961,Late Delivery
146290,
5783,
14011,Changed Mind
128396,Changed Mind
32141,Changed Mind
6651,
149487,Late Delivery
124594,
14692,Late Delivery
104063,Late Delivery
22386,Wrong Item
67637,Damaged
75411,Damaged
56278,
126109,Wrong Item
149218,Wrong Item
85503,Damaged
10850,
68382,Wrong Item
105493,Wrong Item
46225,Wrong Item
116246,Changed Mind
683,Late Delivery
136925,Damaged
66771,Damaged
129909,Damaged
119945,Late Delivery
103650,Wrong Item
19889,Late Delivery
27155,Late Delivery
121151,Damaged
40263,Wrong Item
28426,Late Delivery
17739,
54433,Changed Mind
147339,Damaged
122850,Damaged
97672,Wrong Item
10873,Wrong Item
127118,Late Delivery
1760,
17299,Late Delivery
19521,Changed Mind
32744,Changed Mind
25411,Wrong Item
37755,Damaged
141124,
95269,Wrong Item
74953,Late Delivery
114235,Changed Mind
117870,
70889,Wrong Item
53609,Wrong Item
110788,
33721,Damaged
85702,Changed Mind
142100,Wrong Item
107075,Changed Mind
4457,Damaged
3788,Changed Mind
23228,Changed Mind
111692,Wrong Item
1215,Late Delivery
85196,Changed Mind
80764,Damaged
83189,
65118,Damaged
133381,Damaged
136627,Damaged
54600,Damaged
101504,Wrong Item
105859,Wrong Item
13871,Late Delivery
57844,Late Delivery
20819,
127022,Damaged
8923,Damaged
54583,Late Delivery
79740,
148350,Late Delivery
107906,Late Delivery
13053,Wrong Item
28919,Late Delivery
86479,Damaged
32537,Late Delivery
72371,
78382,Damaged
9958,Damaged
8822,Changed Mind
98467,Changed Mind
31957,Late Delivery
13078,Late Delivery
105270,Wrong Item
69060,Late Delivery
119867,Damaged
33927,
21374,Changed Mind
4103,Damaged
75042,Wrong Item
15629,
2195,Damaged
90974,Late Delivery
110687,Late Delivery
78970,Damaged
15364,Wrong Item
8660,Wrong Item
146030,Damaged
143949,Wrong Item
74293,Changed Mind
19072,Damaged
105651,Damaged
12824,Wrong Item
31685,Wrong Item
76128,Changed Mind
100608,Wrong Item
84348,Wrong Item
140725,Changed Mind
34348,
51953,Changed Mind
127281,Damaged
10514,Changed Mind
109896,Damaged
49459,
80278,
113243,Changed Mind
85,Wrong Item
7950,Changed Mind
130077,Wrong Item
55871,Changed Mind
114791,Damaged
45840,Damaged
76059,Wrong Item
12619,Changed Mind
135552,Changed Mind
10015,Damaged
94978,Wrong Item
12993,Wrong Item
57386,Changed Mind
130017,Damaged
83946,Wrong Item
137937,
117871,Damaged
22783,Changed Mind
68120,Late Delivery
105439,Changed Mind
54569,
28151,
123195,Late Delivery
68729,Wrong Item
61749,Damaged
96704,Wrong Item
14221,
145965,Damaged
124479,Wrong Item
4061,Damaged
11541,
129994,Changed Mind
20286,
28499,
15539,Damaged
131436,
137110,
38796,Changed Mind
118472,Late Delivery
16592,Damaged
149294,Damaged
127730,Changed Mind
56171,Late Delivery
89753,Damaged
117055,Damaged
2131,Changed Mind
120375,Wrong Item
106667,
75274,Wrong Item
13798,Changed Mind
114762,
28366,Damaged
130683,Changed Mind
131928,Late Delivery
96136,
76529,Wrong Item
70989,
137196,Changed Mind
130788,Changed Mind
65008,Wrong Item
129623,Late Delivery
17441,Changed Mind
99403,Wrong Item
117631,Changed Mind
23187,
90503,Wrong Item
77416,Changed Mind
119849,Changed Mind
144228,Changed Mind
95456,Late Delivery
29244,Wrong Item
105582,Late Delivery
59531,Late Delivery
63441,
46995,Changed Mind
56147,Damaged
88001,Changed Mind
109928,
126762,Late Delivery
63081,Changed Mind
122787,Late Delivery
120334,
114907,Late Delivery
3109,Changed Mind
86701,Wrong Item
123038,
45376,Wrong Item
47567,
50591,
143685,Wrong Item
83076,Late Delivery
136636,Late Delivery
134372,Wrong Item
56170,
47516,Late Delivery
127569,Wrong Item
58109,Wrong Item
12716,Damaged
47131,Damaged
147775,
52244,Damaged
22733,
136040,
67112,Wrong Item
58423,
35815,Late Delivery
60817,
149924,Damaged
26190,Changed Mind
17015,Changed Mind
48171,Damaged
15267,Late Delivery
30694,Wrong Item
70672,Changed Mind
47212,Changed Mind
76888,Late Delivery
100725,
27545,Damaged
100740,Wrong Item
650,Wrong Item
107713,
121536,Damaged
95789,Late Delivery
118398,Changed Mind
128910,Damaged
61038,Changed Mind
76649,Damaged
122486,
8295,Late Delivery
140651,
74059,Wrong Item
84522,
31327,Wrong Item
53107,Changed Mind
113868,Late Delivery
109003,Late Delivery
83143,Changed Mind
138096,Wrong Item
59482,Wrong Item
69880,Changed Mind
142641,
20381,Changed Mind
104773,Wrong Item
26672,
27287,Wrong Item
41897,Changed Mind
131332,Wrong Item
43841,Damaged
83331,Damaged
28034,
115852,
56025,Changed Mind
32136,Wrong Item
53413,Damaged
44494,Late Delivery
51012,
645,Changed Mind
12423,Changed Mind
97690,Damaged
65828,
50902,Damaged
101430,Wrong Item
110016,Changed Mind
93765,
57783,Changed Mind
124296,
108553,Damaged
27275,Damaged
102341,Damaged
10653,
92815,Late Delivery
123904,Late Delivery
96495,
134052,
117697,Changed Mind
124344,Late Delivery
113116,Wrong Item
127020,
133088,Wrong Item
89423,Changed Mind
145306,Changed Mind
75034,Wrong Item
5044,
94839,Damaged
61666,
60639,
36866,Late Delivery
135042,Wrong Item
3981,Damaged
104998,Damaged
41598,
134357,Wrong Item
146550,Wrong Item
61676,Damaged
41210,Changed Mind
15335,Late Delivery
91107,Late Delivery
59047,Wrong Item
98021,
114349,Late Delivery
17953,
25970,
87006,Damaged
128218,Damaged
122619,Damaged
80937,
38639,
146919,Changed Mind
55215,Changed Mind
62686,Changed Mind
58082,
51941,Late Delivery
112159,Wrong Item
21145,
105256,Wrong Item
26897,Changed Mind
148462,Late Delivery
25278,
122920,Late Delivery
8275,
4501,Damaged
110735,Late Delivery
140561,Changed Mind
116988,Damaged
84631,Damaged
6408,Wrong Item
68391,Wrong Item
31745,Late Delivery
139986,
133123,
2843,
69382,Changed Mind
94643,
91814,Changed Mind
56882,Changed Mind
136347,Changed Mind
117216,Damaged
126904,Late Delivery
12669,Late Delivery
60838,Wrong Item
100786,Late Delivery
145092,
142127,Changed Mind
60725,Damaged
131888,Late Delivery
125167,
2361,Changed Mind
106923,Wrong Item
87066,Late Delivery
75922,Wrong Item
100410,Late Delivery
129470,Late Delivery
143088,Late Delivery
41800,Changed Mind
45062,Wrong Item
107381,Changed Mind
72207,
98741,
91339,
78743,Changed Mind
111822,Late Delivery
40564,Wrong Item
85825,Damaged
75257,Wrong Item
134491,Damaged
58959,
96304,Wrong Item
23252,Wrong Item
32839,Wrong Item
35405,Damaged
75759,Changed Mind
94673,Late Delivery
21431,
55144,
75087,Late Delivery
64455,Wrong Item
5719,
144290,
51966,Damaged
19004,
23209,Late Delivery
82679,
109195,Changed Mind
83316,Late Delivery
41784,Damaged
56739,Damaged
141704,
57890,Damaged
106369,
110912,
106413,
90624,
137087,
41312,
132900,
19848,Late Delivery
12843,Damaged
24458,Late Delivery
33383,Damaged
21625,Changed Mind
47455,Changed Mind
33268,Changed Mind
86775,Changed Mind
99665,Damaged
39406,Late Delivery
104038,
32158,
73916,Damaged
144285,Wrong Item
43824,Changed Mind
79986,Changed Mind
118014,Changed Mind
53140,Wrong Item
76233,Changed Mind
37976,
98948,Changed Mind
72719,Late Delivery
22481,Damaged
144808,Late Delivery
10499,Wrong Item
53620,Damaged
120256,
143797,Late Delivery
54182,
97293,Late Delivery
30118,Changed Mind
77144,Changed Mind
115714,Late Delivery
8652,
88055,Wrong Item
107177,
3345,Wrong Item
99780,Changed Mind
144471,Changed Mind
49377,Late Delivery
115840,Late Delivery
50636,Wrong Item
94574,Damaged
47363,
77980,
39296,Damaged
81181,Wrong Item
106047,
3232,
53855,Changed Mind
33868,Wrong Item
46186,Late Delivery
107829,Damaged
18607,Damaged
10190,Late Delivery
46018,Late Delivery
144018,Damaged
23632,Changed Mind
52318,Wrong Item
149205,Late Delivery
149436,Damaged
15314,Changed Mind
90556,Damaged
73410,Changed Mind
30204,
97236,Wrong Item
21747,Changed Mind
9466,Changed Mind
121240,Wrong Item
34094,Wrong Item
56956,Damaged
106990,
38244,Wrong Item
74961,Late Delivery
102891,
66610,Wrong Item
129413,
124998,Late Delivery
60996,Wrong Item
73862,
55434,Wrong Item
107842,
24268,
30974,
118623,Late Delivery
51943,Damaged
89221,
67343,
73770,
33587,
109460,Late Delivery
78938,Changed Mind
82815,Late Delivery
98464,
91315,Late Delivery
146151,
68048,Wrong Item
16603,Changed Mind
33563,Late Delivery
130061,Late Delivery
60449,
71637,Damaged
67859,Late Delivery
10538,Late Delivery
119215,Wrong Item
3339,Damaged
1562,Changed Mind
139561,
135422,Wrong Item
85434,Changed Mind
72738,Changed Mind
80528,Wrong Item
67089,Late Delivery
30573,
136226,Wrong Item
22948,Late Delivery
99987,Changed Mind
86654,Wrong Item
114864,
